,freq_pvalue,pvalue,effect_size,gene_ids,feature_types,n_counts,mt,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_cells,clonally_expressed,normalized_effect_size
ACACB,55,0.03574367890576379,-0.0033293967863278207,ENSG00000076555,Gene Expression,83.0,False,11,0.016783357,0.016644072,98.64532019704434,13.628086,2.6829433,79,False,-0.19837490512017164
AP002748.4,54,0.03586575220561966,-0.004089628431594418,ENSG00000255517,Gene Expression,208.0,False,22,0.024661807,0.024362614,97.29064039408867,20.025387,3.0457306,204,False,-0.16582841535719378
HMMR,51,0.03587851068782895,-0.0017935447089397205,ENSG00000072571,Gene Expression,83.0,False,7,0.007825555,0.0077950945,99.13793103448276,6.354351,1.9952921,59,False,-0.22919072766091036
AL133243.2,54,0.03589761164437389,-0.0010248937191280828,ENSG00000276334,Gene Expression,40.0,False,2,0.0026373456,0.0026338738,99.75369458128078,2.1415246,1.1447082,39,False,-0.388608049016649
CHAC2,52,0.03632008844857794,-0.004746677700953765,ENSG00000143942,Gene Expression,210.0,False,25,0.031836648,0.031340368,96.92118226600985,25.851357,3.2903163,200,False,-0.14909477183301542
ATXN7L3,51,0.036327903791902615,-0.0020606837189157245,ENSG00000087152,Gene Expression,84.0,False,5,0.0078855995,0.00785467,99.38423645320196,6.403107,2.0018997,84,False,-0.26132239109972194
MICB,56,0.03635315652868097,-0.0030755541753619345,ENSG00000204516,Gene Expression,131.0,False,16,0.018531159,0.018361548,98.0295566502463,15.047301,2.7755406,130,False,-0.16596664284800738
CYC1,37,0.036383152285424165,-0.02929534473428136,ENSG00000179091,Gene Expression,2430.0,False,265,0.367403,0.31291333,67.36453201970443,298.33124,5.701551,1872,False,-0.07973626967385396
DCAF11,43,0.03640099000472195,-0.011027388311196984,ENSG00000100897,Gene Expression,616.0,False,78,0.0962662,0.09191004,90.39408866995073,78.16816,4.3715744,584,False,-0.11455098477021874
SLC9A7,57,0.03647715055219108,-0.0020540078881529054,ENSG00000065923,Gene Expression,51.0,False,9,0.010582212,0.010526612,98.89162561576354,8.592756,2.2610083,51,False,-0.19410004435052589
APOBEC3B,37,0.03656426582551383,-0.01627552455049111,ENSG00000179750,Gene Expression,857.0,False,112,0.15442984,0.14360657,86.20689655172413,125.397026,4.839428,699,False,-0.1053910614348193
METAP1D,47,0.03658162964354387,-0.004386329982745012,ENSG00000172878,Gene Expression,140.0,False,23,0.029089116,0.028674057,97.16748768472905,23.620361,3.2035737,138,False,-0.1507893897182741
KATNAL1,58,0.0367305284666548,-0.002075071438887544,ENSG00000102781,Gene Expression,58.0,False,8,0.009749341,0.009702123,99.01477832512316,7.916465,2.1878996,57,False,-0.21284222966261546
NLN,48,0.03677428874117164,-0.0018257984355100013,ENSG00000123213,Gene Expression,35.0,False,5,0.0074000205,0.0073727746,99.38423645320196,6.0088167,1.9471688,35,False,-0.24672883509561797
RNF168,44,0.036794375541369335,-0.01826869282743035,ENSG00000163961,Gene Expression,1171.0,False,132,0.18106064,0.16641289,83.74384236453201,147.02124,4.997356,988,False,-0.100898199770138
ATP1A1,51,0.03683172011335324,-0.00437244809221083,ENSG00000163399,Gene Expression,229.0,False,23,0.02909774,0.028682437,97.16748768472905,23.627365,3.2038581,220,False,-0.15026762048363967
SDR39U1,42,0.03685249623843467,-0.01569555316281726,ENSG00000100445,Gene Expression,1080.0,False,121,0.15582836,0.14481728,85.09852216748767,126.53263,4.8483725,951,False,-0.10072334388225228
ACTN1,49,0.03687054556552608,-0.003475479159879259,ENSG00000072110,Gene Expression,146.0,False,16,0.020455843,0.020249432,98.0295566502463,16.610144,2.868475,123,False,-0.16990153803271543
SLCO4A1,52,0.0369219171499249,-0.006382530299027828,ENSG00000101187,Gene Expression,250.0,False,34,0.04520533,0.044213355,95.8128078817734,36.706726,3.6298385,235,False,-0.14118977772719893
CYCS,38,0.036961356959757614,-0.028192145058180407,ENSG00000172115,Gene Expression,2725.0,False,271,0.38403648,0.32500422,66.62561576354679,311.83762,5.745684,2016,False,-0.07341007020176976
RANGRF,39,0.03696881698772578,-0.02107975506417009,ENSG00000108961,Gene Expression,1563.0,False,166,0.23004092,0.20704743,79.55665024630541,186.79323,5.2353415,1346,False,-0.09163480484763209
ZNF740,60,0.03698590204477198,-0.0022009362593494973,ENSG00000139651,Gene Expression,87.0,False,8,0.010561357,0.010505976,99.01477832512316,8.575822,2.2592413,85,False,-0.20839520970377487
IL6ST,39,0.03699630923176911,-0.015798610624963016,ENSG00000134352,Gene Expression,980.0,False,104,0.14624844,0.13649438,87.19211822660098,118.75374,4.7854376,856,False,-0.10802583667925422
ZMYM2,48,0.03703295074390577,-0.005440548308644162,ENSG00000121741,Gene Expression,228.0,False,29,0.037011478,0.036342997,96.42857142857143,30.05332,3.4357057,220,False,-0.14699624517821894
MIGA2,53,0.03716071029020521,-0.0019685389651089742,ENSG00000148343,Gene Expression,81.0,False,6,0.008455408,0.008419861,99.26108374384236,6.8657913,2.0625231,80,False,-0.2328141954043218
NDUFA8,39,0.037192244065155956,-0.023032985306904397,ENSG00000119421,Gene Expression,1767.0,False,208,0.27001804,0.2390311,74.38423645320196,219.25464,5.3947845,1481,False,-0.08530165321614254
BSDC1,37,0.037262962123370116,-0.012641428146064976,ENSG00000160058,Gene Expression,576.0,False,81,0.10647716,0.10118124,90.02463054187191,86.45945,4.471175,543,False,-0.11872432160610574
DOLK,51,0.037293115246364535,-0.0048097613113440366,ENSG00000175283,Gene Expression,214.0,False,24,0.03189672,0.031398587,97.04433497536947,25.900139,3.2921314,207,False,-0.15079171382973328
WDR11-AS1,51,0.037305986523386424,-0.00250544039886123,ENSG00000227165,Gene Expression,43.0,False,9,0.012224834,0.012150714,98.89162561576354,9.926565,2.391197,43,False,-0.20494677591157676
PKIA,53,0.037376913371178315,-0.002243882865837283,ENSG00000171033,Gene Expression,26.0,False,5,0.00847571,0.008439993,99.38423645320196,6.882276,2.0646167,26,False,-0.26474277004845675
PPM1B,58,0.03750452772981513,-0.0047441388349632255,ENSG00000138032,Gene Expression,187.0,False,23,0.02947198,0.02904603,97.16748768472905,23.931248,3.216122,184,False,-0.16097115868406892
PNN,37,0.037541036017830036,-0.016180357039271454,ENSG00000100941,Gene Expression,1041.0,False,110,0.14739592,0.13749497,86.45320197044335,119.685486,4.793188,910,False,-0.10977479315169697
PICK1,49,0.03760864510072696,-0.005131701145664268,ENSG00000100151,Gene Expression,215.0,False,27,0.03538252,0.034770943,96.67487684729063,28.730608,3.392177,213,False,-0.14503492364510748
GNPTAB,50,0.03765578286508878,-0.009500485497032335,ENSG00000111670,Gene Expression,370.0,False,58,0.07866805,0.07572699,92.85714285714286,63.878456,4.1725154,350,False,-0.12076675906568624
PIN1,41,0.03773694938508293,-0.025832233149368444,ENSG00000127445,Gene Expression,1967.0,False,221,0.30094403,0.2630902,72.78325123152709,244.36656,5.5027533,1600,False,-0.0858373336893075
TMEM54,46,0.037746746126313485,-0.0021827089897137903,ENSG00000121900,Gene Expression,47.0,False,8,0.010269704,0.0102173295,99.01477832512316,8.339,2.234199,47,False,-0.21253864096775477
DNMBP,59,0.037850593988025066,-0.0034506570130655966,ENSG00000107554,Gene Expression,98.0,False,16,0.019999767,0.019802399,98.0295566502463,16.23981,2.8472214,98,False,-0.1725348630798957
AC025257.1,50,0.03785790504506824,-0.0017058752224032477,ENSG00000257386,Gene Expression,22.0,False,5,0.0069173216,0.0068935067,99.38423645320196,5.616865,1.8896217,22,False,-0.24660921145467704
GPATCH4,43,0.03801663114258099,-0.00950554966583933,ENSG00000160818,Gene Expression,568.0,False,59,0.078208804,0.07530115,92.73399014778325,63.505547,4.1667514,507,False,-0.12154065992329567
RBKS,51,0.03802933464828336,-0.00380591803252308,ENSG00000171174,Gene Expression,148.0,False,19,0.02442225,0.024128797,97.66009852216749,19.830868,3.0364358,146,False,-0.15583813634266275
PERP,34,0.03803403593713028,-0.018048246678179503,ENSG00000112378,Gene Expression,1123.0,False,132,0.17772834,0.16358745,83.74384236453201,144.31541,4.9789066,970,False,-0.1015496272297474
SGMS1-AS1,47,0.038070458151159704,-0.0017497744219326233,ENSG00000226200,Gene Expression,105.0,False,8,0.008507952,0.008471963,99.01477832512316,6.9084573,2.0679328,105,False,-0.20566340790171456
CHRAC1,51,0.0381453624495077,-0.00944996201022523,ENSG00000104472,Gene Expression,575.0,False,63,0.07901186,0.07604568,92.24137931034483,64.15763,4.1768093,541,False,-0.1196018206390793
NPB,50,0.03821973316379565,-0.004512518132774042,ENSG00000183979,Gene Expression,183.0,False,21,0.02897906,0.028567106,97.41379310344827,23.530996,3.1999373,159,False,-0.15571651531866065
UQCR11,37,0.03826046644509065,-0.03920092443455936,ENSG00000127540,Gene Expression,13993.0,False,689,1.5588493,0.9395577,15.147783251231528,1265.7856,7.144238,5000,False,-0.025147346546920243
GLG1,33,0.03836548503106741,-0.021524629599119327,ENSG00000090863,Gene Expression,1461.0,False,171,0.2372775,0.2129134,78.94088669950739,192.66933,5.2661524,1220,False,-0.09071500772275368
HCLS1,37,0.0383923887650529,-0.031192258682913143,ENSG00000180353,Gene Expression,3041.0,False,297,0.43706638,0.36260378,63.42364532019704,354.8979,5.874644,2170,False,-0.07136732629365862
AL138963.4,45,0.03862733335244294,-0.01786269024058218,ENSG00000273149,Gene Expression,700.0,False,89,0.16044925,0.14880721,89.03940886699507,130.28479,4.877369,508,False,-0.11132922135793134
POLR2L,44,0.03864453776653716,-0.03977545098777735,ENSG00000177700,Gene Expression,8846.0,False,592,1.1350499,0.75849,27.093596059113302,921.6606,6.8272614,4230,False,-0.035042908347599516
CSTB,36,0.03866842259962436,-0.04037619039132956,ENSG00000160213,Gene Expression,7124.0,False,519,0.94405586,0.66477644,36.083743842364534,766.57336,6.6432343,3766,False,-0.04276885754773728
SMIM26,36,0.03868673787119311,-0.031694564293823946,ENSG00000232388,Gene Expression,3163.0,False,321,0.47519052,0.38878715,60.467980295566505,385.8547,5.9580493,2335,False,-0.06669864599721134
FLT3LG,51,0.03871886852509438,-0.006719872799603399,ENSG00000090554,Gene Expression,306.0,False,40,0.050957434,0.04970159,95.07389162561576,41.377438,3.7466161,292,False,-0.13187227629064743
HSF4,65,0.03883272810378889,-0.004824805875149808,ENSG00000102878,Gene Expression,193.0,False,25,0.032675102,0.032152623,96.92118226600985,26.532183,3.3153555,185,False,-0.14766000800890075
PPP1R36,75,0.039094098936543316,-0.0005916500151575792,ENSG00000165807,Gene Expression,10.0,False,1,0.0012641151,0.0012633167,99.8768472906404,1.0264615,0.70629114,10,False,-0.4680349254281708
DHFR2,75,0.039094098936543316,-0.0005916500151575792,ENSG00000178700,Gene Expression,43.0,False,1,0.0012641151,0.0012633167,99.8768472906404,1.0264615,0.70629114,43,False,-0.4680349254281708
PPIL6,75,0.039094098936543316,-0.0005916500151575792,ENSG00000185250,Gene Expression,15.0,False,1,0.0012641151,0.0012633167,99.8768472906404,1.0264615,0.70629114,15,False,-0.4680349254281708
IL18BP,75,0.039094098936543316,-0.0005916500151575792,ENSG00000137496,Gene Expression,29.0,False,1,0.0012641151,0.0012633167,99.8768472906404,1.0264615,0.70629114,28,False,-0.4680349254281708
AC005537.1,47,0.0391135389738646,-0.0014875189617387938,ENSG00000232006,Gene Expression,41.0,False,4,0.0049975566,0.0049851104,99.50738916256158,4.058016,1.6209743,40,False,-0.29764924975794715
TAGAP,50,0.03923766335034417,-0.022139952156911835,ENSG00000164691,Gene Expression,1322.0,False,158,0.23688541,0.21259646,80.54187192118226,192.35095,5.264507,1073,False,-0.09346270767466511
CEP83,51,0.03935464648413463,-0.005227426436703195,ENSG00000173588,Gene Expression,193.0,False,30,0.039020732,0.038278665,96.30541871921181,31.684835,3.4869113,188,False,-0.13396536053325425
AC114752.2,57,0.039457112783452715,-0.0006864061771550685,ENSG00000238201,Gene Expression,17.0,False,3,0.0024286532,0.0024257088,99.63054187192118,1.9720664,1.0892575,16,False,-0.28262832321444986
AC009237.14,53,0.0394968084341243,-0.0015019800366107925,ENSG00000272913,Gene Expression,30.0,False,6,0.006125533,0.0061068484,99.26108374384236,4.9739327,1.7874055,30,False,-0.2451998921921911
RXRB,49,0.03949732880969315,-0.005654037003717555,ENSG00000204231,Gene Expression,291.0,False,33,0.04195148,0.04109538,95.93596059113301,34.0646,3.557192,284,False,-0.13477562257293435
CRYBG3,54,0.03956554651775523,-0.008505307519744432,ENSG00000080200,Gene Expression,358.0,False,45,0.06573779,0.06366732,94.45812807881774,53.37909,3.9959798,334,False,-0.1293823133369548
SMYD4,42,0.03958612866011946,-0.00275300198744987,ENSG00000186532,Gene Expression,114.0,False,11,0.014729463,0.014622037,98.64532019704434,11.960323,2.5618927,111,False,-0.18690444240511597
DENND3,48,0.039646422006308434,-0.004702700733143321,ENSG00000105339,Gene Expression,205.0,False,28,0.034864653,0.034270648,96.55172413793103,28.310099,3.377932,200,False,-0.13488448447707543
IL15,57,0.0397081359951435,-0.0018950021696690807,ENSG00000164136,Gene Expression,63.0,False,9,0.009383579,0.009339826,98.89162561576354,7.619466,2.1540232,61,False,-0.20194876743039764
PPCDC,44,0.03976954515940603,-0.024464616493435065,ENSG00000138621,Gene Expression,1965.0,False,210,0.30001163,0.2623732,74.13793103448276,243.60944,5.499663,1516,False,-0.08154555908330074
SPAG7,41,0.039829678857988715,-0.019345250013552973,ENSG00000091640,Gene Expression,1443.0,False,158,0.21184175,0.19214131,80.54187192118226,172.0155,5.1533813,1210,False,-0.09131934697701619
FAM133B,43,0.03987875411088426,-0.01661649091796319,ENSG00000234545,Gene Expression,1100.0,False,129,0.16915368,0.15628013,84.11330049261083,137.35278,4.9298067,969,False,-0.09823310593185704
OGFOD1,54,0.03991347107459941,-0.005243074207271173,ENSG00000087263,Gene Expression,228.0,False,29,0.037441175,0.03675727,96.42857142857143,30.402233,3.446879,224,False,-0.14003497878777205
PEX2,47,0.03991510971317617,-0.009547345224537748,ENSG00000164751,Gene Expression,477.0,False,66,0.08289595,0.07963888,91.87192118226602,67.31151,4.224078,441,False,-0.11517263851963179
MAU2,58,0.03992378527413782,-0.003642370391203926,ENSG00000129933,Gene Expression,145.0,False,16,0.022046106,0.021806603,98.0295566502463,17.901438,2.939238,144,False,-0.16521604322095376
MCF2L,54,0.04001052332229713,-0.0016472643079400735,ENSG00000126217,Gene Expression,61.0,False,5,0.006750847,0.006728162,99.38423645320196,5.481688,1.868981,60,False,-0.2440085304812143
HCFC1R1,45,0.04003588887272049,-0.02067731878305007,ENSG00000103145,Gene Expression,1399.0,False,162,0.22641104,0.20409206,80.04926108374384,183.84576,5.2195215,1206,False,-0.09132645812308973
DPEP1,41,0.040145191024827026,-0.02003212951483685,ENSG00000015413,Gene Expression,1604.0,False,131,0.1989819,0.18147278,83.86699507389163,161.5733,5.091129,1014,False,-0.100673126114577
NIPBL,50,0.040147706349070486,-0.014218536883619376,ENSG00000164190,Gene Expression,896.0,False,107,0.1372422,0.1286062,86.82266009852216,111.44067,4.7224255,805,False,-0.10360178641712035
HIP1,52,0.04020104910044007,-0.004130583487598219,ENSG00000127946,Gene Expression,176.0,False,21,0.027132202,0.02677065,97.41379310344827,22.031347,3.136856,166,False,-0.15223915466793966
ABCC10,58,0.040216945193133076,-0.002423764179849682,ENSG00000124574,Gene Expression,105.0,False,10,0.012977882,0.012894391,98.76847290640394,10.53804,2.4456494,103,False,-0.1867611468488038
PLAG1,62,0.040222121015797446,-0.0006866463223226872,ENSG00000181690,Gene Expression,24.0,False,2,0.0019564154,0.001954504,99.75369458128078,1.5886093,0.9511208,24,False,-0.3509716471406489
APOBEC3F,55,0.04026406424679749,-0.004632330774608048,ENSG00000128394,Gene Expression,199.0,False,26,0.032821827,0.032294694,96.79802955665025,26.651323,3.3196735,194,False,-0.14113567857967702
STIMATE,56,0.04029979596746285,-0.0029631064024686765,ENSG00000213533,Gene Expression,116.0,False,12,0.015920961,0.015795551,98.52216748768473,12.92782,2.6338882,116,False,-0.1861135361840142
PPM1D,51,0.040524675538900955,-0.004369308241637844,ENSG00000170836,Gene Expression,141.0,False,23,0.028865766,0.028456997,97.16748768472905,23.439001,3.1961803,139,False,-0.1513664413030508
CALCOCO1,48,0.04052729537269546,-0.014473679707548648,ENSG00000012822,Gene Expression,867.0,False,99,0.13650377,0.12795669,87.807881773399,110.84106,4.7170787,784,False,-0.10603135435078875
HPGD,55,0.040527644169043114,-0.0028698419153745693,ENSG00000164120,Gene Expression,48.0,False,11,0.015745832,0.015623152,98.64532019704434,12.785615,2.6236258,46,False,-0.18226042158535816
HSPA5,48,0.0405572914562679,-0.0399224226616276,ENSG00000044574,Gene Expression,27601.0,False,759,2.2234101,1.1704398,6.5270935960591085,1805.4089,7.499096,5308,False,-0.01795549194055318
ARX,57,0.040588953526871675,-0.007310672683898109,ENSG00000004848,Gene Expression,260.0,False,38,0.05615549,0.05463542,95.32019704433498,45.59826,3.8415632,243,False,-0.13018624666897302
RSF1,43,0.040594683477086835,-0.024182659426579656,ENSG00000048649,Gene Expression,2021.0,False,204,0.28550115,0.25114864,74.8768472906404,231.82693,5.4502954,1639,False,-0.08470249326040434
GAB3,61,0.04060679152593965,-0.0009723205592566081,ENSG00000160219,Gene Expression,44.0,False,2,0.0026448895,0.002641398,99.75369458128078,2.1476502,1.1466563,41,False,-0.36762237176354634
GNG7,43,0.04079011236175486,-0.039432349972035374,ENSG00000176533,Gene Expression,6458.0,False,475,0.81814426,0.59781635,41.50246305418719,664.3331,6.500288,3533,False,-0.04819730677264258
AOC1,85,0.040796620263567986,-0.0011983579505426213,ENSG00000002726,Gene Expression,27.0,False,3,0.0032378214,0.0032325909,99.63054187192118,2.629111,1.2889878,22,False,-0.37011243194251253
C5orf56,40,0.0408752694067512,-0.019797762706914357,ENSG00000197536,Gene Expression,1447.0,False,171,0.2287944,0.20603353,78.94088669950739,185.78105,5.229937,1229,False,-0.08653080258803217
SLC25A1,47,0.04089857891187863,-0.01849620469103408,ENSG00000100075,Gene Expression,1358.0,False,142,0.1870276,0.17145237,82.51231527093597,151.86641,5.0295644,1192,False,-0.09889558736781298
SDC1,37,0.04097964172603111,-0.04405205162880588,ENSG00000115884,Gene Expression,8119.0,False,531,1.052507,0.719062,34.60591133004927,854.63574,6.751845,3625,False,-0.04185440081052872
YTHDF2,51,0.040980492938474694,-0.02389756077156352,ENSG00000198492,Gene Expression,1640.0,False,200,0.26895937,0.23819718,75.36945812807882,218.395,5.390874,1380,False,-0.08885193508619942
PIM2,50,0.04100677283790819,-0.03816698808709107,ENSG00000102096,Gene Expression,4009.0,False,344,0.57741,0.45578426,57.63546798029557,468.8569,6.152428,2295,False,-0.06610032599342663
TNFAIP8,36,0.041011545390135296,-0.013914704436892078,ENSG00000145779,Gene Expression,743.0,False,98,0.1309899,0.12309326,87.93103448275862,106.36379,4.676223,678,False,-0.10622731252928129
IGLC7,56,0.041187377514366165,-0.0038821360299549842,ENSG00000211685,Gene Expression,555.0,False,12,0.020963209,0.020746505,98.52216748768473,17.022125,2.8916001,72,False,-0.18518806334814056
ANTKMT,44,0.041205204986063546,-0.026162360559003006,ENSG00000103254,Gene Expression,2094.0,False,214,0.30650938,0.267359,73.64532019704433,248.8856,5.5210032,1654,False,-0.08535582479381588
MEF2C,35,0.04125640122134948,-0.03971543114658538,ENSG00000081189,Gene Expression,4709.0,False,399,0.66871524,0.512054,50.86206896551724,542.99677,6.2989435,2958,False,-0.0593906477014711
WDR83OS,41,0.041386057919627364,-0.03926773851179788,ENSG00000105583,Gene Expression,11048.0,False,631,1.2919105,0.82938576,22.29064039408867,1049.0314,6.9565754,4617,False,-0.030395091321098872
SMARCC1,46,0.04138726034512675,-0.008074775966645326,ENSG00000173473,Gene Expression,461.0,False,49,0.06619636,0.06409751,93.96551724137932,53.751446,4.002804,419,False,-0.12198217551495846
RABGGTB,47,0.04140695971498867,-0.015589936756735034,ENSG00000137955,Gene Expression,980.0,False,113,0.1539892,0.1432248,86.08374384236454,125.03922,4.836593,874,False,-0.10124045828894919
COMMD1,42,0.04146453934150221,-0.024237042668700803,ENSG00000173163,Gene Expression,1995.0,False,215,0.29673654,0.25985074,73.52216748768473,240.95006,5.4887314,1614,False,-0.08167865945513356
RBM17,46,0.04156792319127045,-0.030423022820594336,ENSG00000134453,Gene Expression,2899.0,False,290,0.430252,0.35785064,64.28571428571428,349.36462,5.8589745,2166,False,-0.07070977897952199
RNASEL,50,0.04168264446645225,-0.0026128314645743646,ENSG00000135828,Gene Expression,98.0,False,10,0.013787198,0.013693019,98.76847290640394,11.195205,2.5010428,94,False,-0.18951142119167655
FAM168B,51,0.041769782433580135,-0.005165392905354775,ENSG00000152102,Gene Expression,201.0,False,27,0.035945408,0.03531445,96.67487684729063,29.187672,3.4074335,194,False,-0.14370105073530498
FBXO25,50,0.042028746699170304,-0.009422915552018143,ENSG00000147364,Gene Expression,537.0,False,70,0.08055471,0.07747453,91.37931034482759,65.41042,4.195854,506,False,-0.11697535361854527
UGGT1,61,0.04204003558821051,-0.009864538158748173,ENSG00000136731,Gene Expression,563.0,False,66,0.081048526,0.07793143,91.87192118226602,65.8114,4.201874,526,False,-0.12171150619801982
RAB8B,47,0.0420558559447119,-0.00494125976770219,ENSG00000166128,Gene Expression,258.0,False,26,0.03309778,0.032561842,96.79802955665025,26.875399,3.3277445,248,False,-0.14929277983111838
HPDL,55,0.042107483827213014,-0.0011942451937974555,ENSG00000186603,Gene Expression,49.0,False,4,0.0044158064,0.0044060852,99.50738916256158,3.585635,1.5229286,47,False,-0.2704478163770034
PSIP1,43,0.042158951380519526,-0.01898733680153908,ENSG00000164985,Gene Expression,1283.0,False,149,0.20343533,0.18518025,81.65024630541872,165.18948,5.1131287,1102,False,-0.0933335259602644
DLG4,57,0.04223958179993907,-0.0019524740205300942,ENSG00000132535,Gene Expression,39.0,False,6,0.0083677005,0.008332886,99.26108374384236,6.794573,2.0534277,38,False,-0.2333345965237315
CCR5,70,0.04240272286613575,-0.0007658785434716871,ENSG00000160791,Gene Expression,17.0,False,2,0.0022027905,0.0022003679,99.75369458128078,1.7886658,1.0255632,17,False,-0.3476856088750642
TTI2,67,0.042406778604966215,-0.0027123081408817126,ENSG00000129696,Gene Expression,96.0,False,9,0.012585585,0.012507045,98.89162561576354,10.219495,2.4176528,96,False,-0.2155091034448438
PKN2,58,0.04246431963420756,-0.01064526185320383,ENSG00000065243,Gene Expression,603.0,False,70,0.09450516,0.090302356,91.37931034482759,76.73819,4.353347,566,False,-0.1126421217134554
CXorf40B,41,0.04248234707320516,-0.011593644817478765,ENSG00000197021,Gene Expression,619.0,False,76,0.10159538,0.096759476,90.64039408866995,82.495445,4.4247923,576,False,-0.11411586712465678
DSN1,43,0.042544348331292475,-0.008652274358780937,ENSG00000149636,Gene Expression,454.0,False,62,0.07512545,0.07243735,92.36453201970444,61.001865,4.1271644,431,False,-0.11517101784273079
ARF4,34,0.04258311618712227,-0.038885532694886704,ENSG00000168374,Gene Expression,7103.0,False,482,0.8567848,0.6188464,40.64039408866995,695.7093,6.546368,3546,False,-0.04538541272197533
CFAP97,59,0.04259483538002032,-0.016616481586517462,ENSG00000164323,Gene Expression,1012.0,False,110,0.16148724,0.14970128,86.45320197044335,131.12764,4.8837686,902,False,-0.1028965628145678
CNFN,78,0.042612003869542274,-0.0005410624610383834,ENSG00000105427,Gene Expression,32.0,False,1,0.0011716367,0.0011709509,99.8768472906404,0.95136905,0.6685312,32,False,-0.46180052275023087
AC107214.1,78,0.042612003869542274,-0.0005410624610383834,ENSG00000232648,Gene Expression,17.0,False,1,0.0011716367,0.0011709509,99.8768472906404,0.95136905,0.6685312,17,False,-0.46180052275023087
DCLRE1A,58,0.04261499204917383,-0.0008228770298540199,ENSG00000198924,Gene Expression,30.0,False,4,0.0031451199,0.0031401843,99.50738916256158,2.5538373,1.2680279,29,False,-0.2616361419820907
AC021054.1,59,0.042639211138656166,-0.002776205690039786,ENSG00000177406,Gene Expression,70.0,False,12,0.016168494,0.016039176,98.52216748768473,13.128818,2.6482165,70,False,-0.1717046577276618
DARS,40,0.042646015717169465,-0.021359844148110207,ENSG00000115866,Gene Expression,1566.0,False,181,0.2396816,0.21485457,77.70935960591133,194.62146,5.276181,1291,False,-0.08911757937306641
CERS6,79,0.042788259245883586,-0.0006646049110416807,ENSG00000172292,Gene Expression,17.0,False,1,0.0014280818,0.001427063,99.8768472906404,1.1596024,0.76992416,16,False,-0.4653829527161585
BBIP1,47,0.042940759885044,-0.011770395619401353,ENSG00000214413,Gene Expression,575.0,False,84,0.1061854,0.10091752,89.65517241379311,86.22254,4.468463,543,False,-0.11084759044751956
NAIP,65,0.042962098029163516,-0.0026632983481262654,ENSG00000249437,Gene Expression,88.0,False,11,0.014226399,0.014126154,98.64532019704434,11.551836,2.529867,85,False,-0.1872081810963245
GCN1,46,0.04299753438948341,-0.007055480807936082,ENSG00000089154,Gene Expression,288.0,False,42,0.053152252,0.051787812,94.82758620689656,43.15963,3.787811,278,False,-0.13274095723061322
GATD3A,59,0.04304313876388752,-0.0015734599480008264,ENSG00000160221,Gene Expression,100.0,False,6,0.0070638964,0.007039064,99.26108374384236,5.7358837,1.907449,96,False,-0.22274674768096783
ERH,51,0.0430808004199071,-0.03628247948481356,ENSG00000100632,Gene Expression,4925.0,False,418,0.6741144,0.5152843,48.52216748768473,547.3809,6.30697,3076,False,-0.05382243600792393
ELOB,47,0.0431180154819206,-0.0350448973386821,ENSG00000103363,Gene Expression,13998.0,False,694,1.5282499,0.9275273,14.532019704433496,1240.9388,7.124429,5056,False,-0.022931392477302057
DNAJC19,53,0.043314574141554506,-0.023775654815777647,ENSG00000205981,Gene Expression,1886.0,False,192,0.27952817,0.2464914,76.35467980295567,226.97687,5.429244,1572,False,-0.08505638177964983
DHRSX,52,0.04336952171308542,-0.01317931129890551,ENSG00000169084,Gene Expression,791.0,False,92,0.12395387,0.11685271,88.66995073891626,100.65054,4.621541,734,False,-0.10632432167685942
ELF1,43,0.04343253900534914,-0.026637621171787917,ENSG00000120690,Gene Expression,2492.0,False,240,0.3486587,0.29911056,70.44334975369458,283.11087,5.6493645,1943,False,-0.07640027440278399
TRGV3,52,0.04350276440061131,-0.0016387390431122396,ENSG00000211699,Gene Expression,41.0,False,5,0.00650393,0.006482871,99.38423645320196,5.281191,1.8375596,40,False,-0.2519613650482854
CYSTM1,50,0.04354470175895089,-0.019679877223138076,ENSG00000120306,Gene Expression,1179.0,False,156,0.21392818,0.19386153,80.78817733990148,173.70969,5.1631255,1031,False,-0.09199291748973448
KLHL22,53,0.0435964275335837,-0.006267276199815264,ENSG00000099910,Gene Expression,369.0,False,42,0.049150154,0.047980458,94.82758620689656,39.909924,3.7113726,355,False,-0.127512849715769
TENT5C,43,0.04364741287616096,-0.04148692026685352,ENSG00000183508,Gene Expression,13345.0,False,664,1.5285084,0.9276296,18.226600985221676,1241.1488,7.124598,4657,False,-0.027142094603369412
MRPS17,47,0.043649280040598974,-0.012378743581415247,ENSG00000239789,Gene Expression,610.0,False,80,0.111806,0.105985716,90.14778325123153,90.78647,4.519465,566,False,-0.11071627485304301
PLCG2,54,0.043660145269388016,-0.020285633679895637,ENSG00000197943,Gene Expression,1201.0,False,146,0.20693836,0.18808687,82.01970443349754,168.03395,5.1301,1043,False,-0.09802742254365691
CHPF,51,0.043742635301405465,-0.03702613071666072,ENSG00000123989,Gene Expression,5574.0,False,462,0.77402115,0.5732488,43.103448275862064,628.5052,6.444934,3200,False,-0.047836071119924634
RBM10,58,0.04375064377100486,-0.006119730676385063,ENSG00000182872,Gene Expression,311.0,False,36,0.045596913,0.04458793,95.56650246305418,37.024693,3.6382358,293,False,-0.13421370747306358
